Date,Account,Category,Note,Income/Expense,Amount
12/25/2024 19:50,CUB - online payment,Self-development,Books,Expense,400
12/25/2024 17:01,CUB - online payment,Food,Corn,Expense,30
12/25/2024 15:35,CUB - online payment,Food,Water,Expense,30
12/25/2024 13:32,CUB - online payment,Food,Milk with bharath,Expense,40
12/24/2024 21:49,CUB - online payment,Social Life,Beer,Expense,150
12/24/2024 14:35,CUB - online payment,Food,Lunch with company,Expense,262
12/23/2024 16:31,CUB - online payment,Food,Lemon tea with company,Expense,15
12/23/2024 13:51,CUB - online payment,Food,Puffs and coffee,Expense,32
12/21/2024 20:53,CUB - online payment,Food,Dinner with barath,Expense,239
12/21/2024 14:02,CUB - online payment,Food,Puffs,Expense,25
12/21/2024 11:43,CUB - online payment,Food,Bun,Expense,18
12/20/2024 19:23,CUB - online payment,Food,Milk with bharath,Expense,80
12/20/2024 19:22,CUB - online payment,Transportation,Taxi,Expense,80
12/20/2024 16:55,CUB - online payment,Food,Snacks,Expense,20
12/20/2024 15:29,CUB - online payment,Food,Water,Expense,20
12/20/2024 13:35,CUB - online payment,Food,Lunch with barath,Expense,85
12/20/2024 9:46,CUB - online payment,Food,Milk with bharath,Expense,40
12/19/2024 15:51,CUB - online payment,Other,To siva,Expense,100
12/18/2024 21:01,CUB - online payment,Other,To kumara,Expense,100
12/18/2024 21:01,CUB - online payment,Other,To abijith,Expense,200
12/18/2024 21:00,CUB - online payment,Food,To rahul,Expense,113
12/18/2024 21:00,CUB - online payment,Allowance,From dad,Income,1000
12/18/2024 19:52,CUB - online payment,Other,Lended money,Income,400
12/18/2024 19:51,CUB - online payment,Social Life,Spiderman ,Expense,363.72
12/18/2024 14:19,CUB - online payment,Food,Lunch,Expense,160
12/17/2024 18:54,CUB - online payment,Food,Milk with bharath,Expense,70
12/17/2024 14:45,CUB - online payment,Food,Lunch with company,Expense,110
12/17/2024 8:35,CUB - online payment,Other,Gave to gowdham,Expense,50
12/16/2024 18:44,CUB - online payment,Food,Egg,Expense,30
12/16/2024 18:35,CUB - online payment,Food,Panipoori,Expense,20
12/16/2024 13:38,CUB - online payment,Food,Lunch,Expense,30
12/16/2024 10:42,CUB - online payment,Food,Milk with bharath,Expense,110
12/14/2024 23:54,CUB - online payment,Food,Lunch,Expense,40
12/14/2024 21:21,CUB - online payment,Food,Snacks,Expense,75
12/14/2024 21:03,CUB - online payment,Food,Panipoori,Expense,80
12/14/2024 15:18,CUB - online payment,Food,Snacks,Expense,74
12/14/2024 10:33,CUB - online payment,Food,Milk with bharath,Expense,65
12/12/2024 21:47,CUB - online payment,Food,Milk with bharath,Expense,25
12/11/2024 9:22,CUB - online payment,Allowance,From dad,Income,1000
12/11/2024 8:20,CUB - online payment,Other,From stu,Income,240
12/10/2024 21:38,CUB - online payment,Food,Shopping,Expense,241
12/10/2024 20:55,CUB - online payment,Food,Momos,Expense,195
12/9/2024 20:03,CUB - online payment,Food,Snack with bharath,Expense,40
12/9/2024 14:01,CUB - online payment,Food,Lunch with company,Expense,280
12/9/2024 9:56,CUB - online payment,Food,Milk with bharath,Expense,25
12/9/2024 8:47,CUB - online payment,Food,Breakfast with stu,Expense,110
12/8/2024 14:15,CUB - online payment,Food,Lunch with stu,Expense,100
12/8/2024 14:15,Cash,Food,5 star,Expense,15
12/8/2024 7:17,CUB - online payment,Food,Milk,Expense,10
12/7/2024 9:54,CUB - online payment,Food,Milk with bharath,Expense,25
12/7/2024 7:59,CUB - online payment,Food,Horlicks,Expense,15
12/6/2024 21:59,CUB - online payment,Food,Milk with bharath,Expense,25
12/6/2024 20:07,CUB - online payment,Apparel,Shoe,Expense,500
12/6/2024 19:57,CUB - online payment,Apparel,Cap,Expense,140
12/6/2024 14:08,CUB - online payment,Food,Lunch with stu,Expense,150
12/5/2024 19:45,CUB - online payment,Food,Milk with bharath,Expense,25
12/5/2024 18:41,CUB - online payment,Apparel,Full hand and a hoodie,Expense,1800
12/5/2024 12:23,CUB - online payment,Household,Rent,Expense,4800
12/5/2024 12:23,CUB - online payment,Allowance,From dad,Income,8000
12/4/2024 21:05,CUB - online payment,Food,Dinner,Expense,324
12/4/2024 20:20,CUB - online payment,Food,Snack,Expense,65
12/4/2024 13:54,CUB - online payment,Other,For company,Expense,30
12/4/2024 10:13,CUB - online payment,Food,Breakfast,Expense,200
12/3/2024 21:59,CUB - online payment,Food,Milk with bharath,Expense,25
12/3/2024 21:59,CUB - online payment,Apparel,Belt,Expense,130
12/3/2024 21:28,CUB - online payment,Apparel,Mask,Expense,20
12/3/2024 21:28,CUB - online payment,Food,Snack,Expense,40
12/3/2024 21:28,CUB - online payment,Allowance,From dad,Income,1000
12/2/2024 20:07,CUB - online payment,Food,Ice cream,Expense,504
12/2/2024 19:48,CUB - online payment,Food,Vadapaav,Expense,75
12/1/2024 19:57,CUB - online payment,Beauty,Showergel,Expense,196
12/1/2024 14:00,CUB - online payment,Food,Lunch with company,Expense,160
11/30/2024 14:24,CUB - online payment,Gift,Bharath birthday,Expense,115
11/30/2024 14:17,CUB - online payment,Food,Lunch with company,Expense,128
11/30/2024 10:11,CUB - online payment,Food,Breakfast,Expense,70
11/29/2024 20:47,CUB - online payment,Food,Lunch with company,Expense,40
11/29/2024 20:47,CUB - online payment,Food,Dinner,Expense,50
11/29/2024 20:09,CUB - online payment,Food,Panipoori,Expense,40
11/29/2024 9:29,CUB - online payment,Food,Breakfast,Expense,40
11/28/2024 19:59,CUB - online payment,Food,Snack,Expense,94
